City Name,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Datetime
São Filipe,14.8961,-24.4956,79.63,68,13,8.12,CV,-3600
Kosa,59.9445,54.9977,34.29,94,63,5.35,RU,18000
Atuona,-9.8,-139.0333,78.35,77,13,17.65,PF,-34200
Vilcún,-38.65,-72.2333,48.94,87,93,1.72,CL,-10800
Rikitea,-23.1203,-134.9692,75.16,79,90,18.61,PF,-32400
Mataura,-46.1927,168.8643,58.46,80,100,1.3,NZ,46800
Strezhevoy,60.7333,77.5889,40.98,89,94,13.6,RU,25200
Cape Town,-33.9258,18.4232,56.12,72,15,5.44,ZA,7200
Måløy,61.9353,5.1136,49.73,81,100,14.0,NO,7200
Torbay,47.6666,-52.7314,59.68,95,100,1.01,CA,-9000
Chāndpur,29.15,78.2667,66.7,76,0,6.35,IN,19800
Severo-Kuril'sk,50.6789,156.125,40.78,83,70,12.48,RU,39600
Port Alfred,-33.5906,26.891,59.05,67,3,17.22,ZA,7200
Hilo,19.7297,-155.09,85.28,70,1,9.22,US,-36000
Punta Arenas,-53.15,-70.9167,35.71,87,20,18.41,CL,-10800
Souillac,-20.5167,57.5167,74.35,75,40,11.12,MU,14400
Burley,42.5357,-113.7928,51.76,54,90,12.66,US,-21600
Iqaluit,63.7506,-68.5145,31.73,80,90,11.01,CA,-14400
Barrhead,55.7992,-4.3929,55.13,92,90,7.0,GB,3600
Bethel,41.3712,-73.414,55.71,73,90,0.0,US,-14400
Tuktoyaktuk,69.4541,-133.0374,25.81,93,53,3.0,CA,-21600
Qaanaaq,77.484,-69.3632,-0.81,57,0,8.08,GL,-10800
Busselton,-33.65,115.3333,64.04,66,95,4.76,AU,28800
Emba,48.8264,58.1442,43.57,40,3,10.07,KZ,18000
Bosaso,11.2842,49.1816,77.23,61,44,1.92,SO,10800
Hofn,64.2539,-15.2082,45.18,77,92,5.95,IS,0
Adrar,20.5022,-10.0711,82.89,16,35,7.34,MR,0
Provideniya,64.3833,-173.3,25.81,77,100,8.21,RU,43200
Aquiraz,-3.9014,-38.3911,85.21,67,7,10.38,BR,-10800
